Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;2;01001;Alegría-Dulantzi;2
;0;7;01002;Amurrio;7
;0;1;01003;Aramaio;1
;0;1;01004;Artziniega;1
;0;1;01006;Armiñón;1
;0;1;01008;Arratzua-Ubarrundia;1
;0;1;01009;Asparrena;1
;0;2;01010;Ayala/Aiara;2
;0;1;01011;Baños de Ebro/Mañueta;1
;0;1;01013;Barrundia;1
;0;1;01014;Berantevilla;1
;0;1;01016;Bernedo;1
;0;1;01017;Campezo/Kanpezu;1
;0;1;01018;Zigoitia;1
;0;1;01019;Kripan;1
;0;1;01020;Kuartango;1
;0;1;01021;Elburgo/Burgelu;1
;0;1;01022;Elciego;1
;0;1;01023;Elvillar/Bilar;1
;0;1;01027;Iruraiz-Gauna;1
;0;1;01028;Labastida/Bastida;1
;0;1;01030;Lagrán;1
;0;1;01031;Laguardia;1
;0;1;01032;Lanciego/Lantziego;1
;0;1;01033;Lapuebla de Labarca;1
;0;1;01034;Leza;1
;0;13;01036;Laudio/Llodio;13
;0;1;01037;Arraia-Maeztu;1
;0;1;01039;Moreda de Álava/Moreda Araba;1
;0;1;01041;Navaridas;1
;0;1;01042;Okondo;1
;0;2;01043;Oyón-Oion;2
;0;1;01044;Peñacerrada-Urizaharra;1
;0;1;01046;Erriberagoitia/Ribera Alta;1
;0;1;01047;Ribera Baja/Erribera Beitia;1
;0;1;01049;Añana;1
;0;3;01051;Salvatierra/Agurain;3
;0;1;01052;Samaniego;1
;0;1;01053;San Millán/Donemiliaga;1
;0;1;01054;Urkabustaiz;1
;0;1;01055;Valdegovía/Gaubea;1
;0;1;01056;Harana/Valle de Arana;1
;0;1;01057;Villabuena de Álava/Eskuernaga;1
;0;1;01058;Legutio;1
;0;187;01059;Vitoria-Gasteiz;187
;0;1;01060;Yécora/Iekora;1
;0;1;01061;Zalduondo;1
;0;1;01062;Zambrana;1
;0;1;01063;Zuia;1
;0;2;01901;Iruña Oka/Iruña de Oca;2
;0;1;01902;Lantarón;1
;0;1;02001;Abengibre;1
;0;1;02002;Alatoz;1
;0;116;02003;Albacete;116
;0;1;02004;Albatana;1
;0;1;02005;Alborea;1
;0;1;02006;Alcadozo;1
;0;1;02007;Alcalá del Júcar;1
;0;1;02008;Alcaraz;1
;0;17;02009;Almansa;17
;0;2;02010;Alpera;2
;0;1;02011;Ayna;1
;0;2;02012;Balazote;2
;0;1;02013;Balsa de Ves;1
;0;1;02014;Ballestero, El;1
;0;1;02015;Barrax;1
;0;1;02016;Bienservida;1
;0;1;02017;Bogarra;1
;0;1;02018;Bonete;1
;0;3;02019;Bonillo, El;3
;0;1;02020;Carcelén;1
;0;1;02021;Casas de Juan Núñez;1
;0;1;02022;Casas de Lázaro;1
;0;1;02023;Casas de Ves;1
;0;3;02024;Casas-Ibáñez;3
;0;7;02025;Caudete;7
;0;1;02026;Cenizate;1
;0;1;02027;Corral-Rubio;1
;0;1;02028;Cotillas;1
;0;2;02029;Chinchilla de Monte-Aragón;2
;0;2;02030;Elche de la Sierra;2
;0;1;02031;Férez;1
;0;1;02032;Fuensanta;1
;0;2;02033;Fuente-Álamo;2
;0;1;02034;Fuentealbilla;1
;0;2;02035;Gineta, La;2
;0;1;02036;Golosalvo;1
;0;20;02037;Hellín;20
;0;1;02038;Herrera, La;1
;0;1;02039;Higueruela;1
;0;1;02040;Hoya-Gonzalo;1
;0;1;02041;Jorquera;1
;0;1;02042;Letur;1
;0;1;02043;Lezuza;1
;0;2;02044;Liétor;2
;0;4;02045;Madrigueras;4
